Valency,Cell,subclass_1,%_1,subclass_2,%_2,5/15/20,5/20/20,5/28/20,6/2/20,6/23/20,6/30/20,7/14/20,7/23/20,9/2/20,9/11/20,10/23/20,11/25/20,12/11/20,12/16/20,2/3/21,2/12/21,2/19/21
4,CHO-hFcgRIIA-131Arg,IgG1,66,IgG4,33,,,,,,,,,,,,,,,889,7476,4498
4,CHO-hFcgRIIA-131Arg,IgG1,33,IgG4,66,,,,,,,,,,,,,,,948,6536,2569
4,CHO-hFcgRIIA-131Arg,IgG1,10,IgG4,90,,,,,,,,,,,,,,,2773,5166,3729
4,CHO-hFcgRIIA-131Arg,IgG1,0,IgG4,100,,,,,,,,,,,,,,,2610,4976,3340
4,CHO-hFcgRIIA-131Arg,IgG2,100,IgG3,0,,,,,,,,,,,382,,151,79,,,
4,CHO-hFcgRIIA-131Arg,IgG2,90,IgG3,10,,,,,,,,,,,4947,,472,2432,,,
4,CHO-hFcgRIIA-131Arg,IgG2,66,IgG3,33,,,,,,,,,,,7176,,4731,3838,,,
4,CHO-hFcgRIIA-131Arg,IgG2,33,IgG3,66,,,,,,,,,,,4374,,4595,3304,,,
4,CHO-hFcgRIIA-131Arg,IgG2,10,IgG3,90,,,,,,,,,,,5365,,3530,4126,,,
4,CHO-hFcgRIIA-131Arg,IgG2,0,IgG3,100,,,,,,,,,,,5197,,4633,4450,,,
4,CHO-hFcgRIIA-131Arg,IgG2,100,IgG4,0,,,,,,,,,,,721,,255,142,,,
4,CHO-hFcgRIIA-131Arg,IgG2,90,IgG4,10,,,,,,,,,,,1405,,226,1033,,,
4,CHO-hFcgRIIA-131Arg,IgG2,66,IgG4,33,,,,,,,,,,,4176,,270,911,,,
4,CHO-hFcgRIIA-131Arg,IgG2,33,IgG4,66,,,,,,,,,,,3857,,236,1157,,,
4,CHO-hFcgRIIA-131Arg,IgG2,10,IgG4,90,,,,,,,,,,,5317,,214,1769,,,
4,CHO-hFcgRIIA-131Arg,IgG2,0,IgG4,100,,,,,,,,,,,6101,,935,305,,,
4,CHO-hFcgRIIA-131Arg,IgG3,100,IgG4,0,,,,,,,,,,,1362,,2937,3747,,,
4,CHO-hFcgRIIA-131Arg,IgG3,90,IgG4,10,,,,,,,,,,,1523,,3266,3930,,,
4,CHO-hFcgRIIA-131Arg,IgG3,66,IgG4,33,,,,,,,,,,,3024,,4675,4044,,,
4,CHO-hFcgRIIA-131Arg,IgG3,33,IgG4,66,,,,,,,,,,,3364,,3299,2466,,,
